                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.49663,                 1.3613,                0.97752,                0.93151,                      1,                  0.995,                0.92037,                0.46682,                 2.2526,                0.86602,             0.00025059,             0.00025059,             0.00025059
                     36,                0.52686,                0.77522,                0.91838,                0.93151,                      1,                  0.995,                0.92037,                0.46682,                 2.2526,                0.86602,             0.00025411,             0.00025411,             0.00025411
                     37,                 0.5682,                 1.0933,                 1.0023,                0.73079,                      1,                  0.995,                0.90047,                0.43563,                 2.9915,                 0.8565,             0.00025741,             0.00025741,             0.00025741
                     38,                0.47414,                0.90104,                0.94549,                0.73079,                      1,                  0.995,                0.90047,                0.43563,                 2.9915,                 0.8565,              0.0002605,              0.0002605,              0.0002605
                     39,                0.62593,                 1.2068,                 1.0257,                0.76984,                      1,                  0.995,                0.90048,                0.51153,                 3.2417,                0.90011,             0.00026336,             0.00026336,             0.00026336
                     40,                 0.4181,                 1.0401,                0.87743,                0.76984,                      1,                  0.995,                0.90048,                0.51153,                 3.2417,                0.90011,               0.000266,               0.000266,               0.000266
                     41,                0.43013,                0.95116,                0.91151,                0.57651,                      1,                  0.995,                0.88059,                0.49804,                 4.8704,                0.88933,             0.00026842,             0.00026842,             0.00026842
                     42,                0.64618,                 1.2594,                 1.0723,                0.57651,                      1,                  0.995,                0.88059,                0.49804,                 4.8704,                0.88933,             0.00027062,             0.00027062,             0.00027062
                     43,                0.69345,                0.89756,                 1.0869,                0.79667,                      1,                  0.995,                0.88059,                0.52075,                 6.6089,                0.89628,              0.0002726,              0.0002726,              0.0002726
                     44,                0.49514,                0.65505,                0.93924,                0.79667,                      1,                  0.995,                0.88059,                0.52075,                 6.6089,                0.89628,             0.00027436,             0.00027436,             0.00027436
                     45,                0.50236,                0.94651,                0.97331,                0.85859,                      1,                  0.995,                0.90558,                0.60563,                 2.8097,                 1.0166,              0.0002759,              0.0002759,              0.0002759
                     46,                0.60021,                 1.4822,                0.94519,                0.85859,                      1,                  0.995,                0.90558,                0.60563,                 2.8097,                 1.0166,             0.00027722,             0.00027722,             0.00027722
                     47,                0.53106,                0.73242,                 0.9723,                0.63352,                    0.9,                0.89676,                0.82698,                0.62111,                 4.8903,                 1.0505,             0.00027832,             0.00027832,             0.00027832
                     48,                0.52705,                 1.1054,                 1.0243,                0.63352,                    0.9,                0.89676,                0.82698,                0.62111,                 4.8903,                 1.0505,              0.0002792,              0.0002792,              0.0002792
